"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"mlt-11",267.589281951574,-6.39065271513037,0.374977333616622,6.16401774282314e-60,1.38782859479663e-56
"lpr-6",42.0972972416371,-3.26183693697336,0.384433554941542,5.46341732700322e-15,1.00415380504063e-12
"lpr-5",54.9775540426989,-5.58965639742675,0.622510371442915,3.83795614145577e-18,1.01660685323384e-15
"lpr-4",33.6934952802691,-6.90397785729086,1.17124264472884,1.27271540419942e-09,1.03261936308288e-07
"lpr-3",95.2046028438704,-6.89414821220973,0.735762158199931,2.96646953829822e-20,1.16156628964843e-17
"W07A12.4",19.5862658520887,-1.27574573077324,0.615427605958211,0.000526762978191081,0.0148916529500165
"Y11D7A.9",15.1608113902288,-6.69813171725875,1.2026172305972,8.53954894058075e-09,5.87077692815804e-07
"Y17G7B.20",164.047222376466,0.872184998567403,0.173260461395794,2.61947452041626e-05,0.00101248873523042
"Y37D8A.3",18.5510206521316,-2.18201657985815,0.560755594804376,7.31256178944415e-06,0.000315104935290593
"nspe-5",34.623684439018,-0.99695093914965,0.363117585513275,0.000592893035657035,0.0164802304911335
"Y39A1A.9",85.9165848489562,-0.817447051045461,0.227445839319958,0.000619097544509853,0.0171030444351403
"Y39B6A.33",368.155133777118,0.681939120513149,0.122814498086529,0.000178875489370167,0.00557423064798521
"Y43F8B.3",10.1555634042209,-3.92880543927152,1.04099649736338,1.40867318986738e-05,0.000584631831702563
"grsp-1",83.1279889661369,-1.25177363014044,0.225468347035568,3.51976685348271e-07,1.74170441112447e-05
"Y45F10D.7",334.324616730516,0.735988412515515,0.128320855385821,4.68711128808483e-05,0.00170210178469726
"Y46G5A.29",10.7368919575514,-4.44099113864492,1.29132824441789,2.223579034449e-05,0.000886086406382642
"txdc-12.1",130.726646791253,-2.34936995560703,0.201831117550442,5.7661393094809e-25,4.32748755176541e-22
"Y57A10A.27",142.090150820008,0.734878816414031,0.168890417885903,0.000508164052882335,0.0144369888336224
"Y57G11C.42",11.5151066265266,-2.89392966705579,0.847674186005863,2.58462113924671e-05,0.00100332318879551
"Y66D12A.8",97.893662132998,1.27590008365084,0.21025107418086,5.81537154514917e-08,3.29391422236562e-06
"psme-3",351.27589884846,1.59183909086337,0.140565821572421,1.32868151217686e-21,5.98305284933238e-19
