"","Aux_rep1_RNA","Aux_rep2_RNA","Aux_rep3_RNA","noAux_rep1_RNA","noAux_rep2_RNA","noAux_rep3_RNA"
"swsn-9",16.9538635897394,12.5484113706124,13.6844162802477,8.31385361076654,13.9421375731803,9.25386155790317
"C01H6.8",0.941881310541076,0,4.02482831771991,3.11769510403745,0.929475838212023,0
"hasp-1",0.941881310541076,2.68894529370266,4.8297939812639,10.3923170134582,14.8716134113924,0
"olrn-1",32.9658458689377,35.8526039160355,23.3440042427755,34.294646144412,33.4611301756328,54.2011891248614
"lron-3",14.1282196581161,11.6520962727115,14.4893819437917,14.5492438188414,8.3652825439082,23.7956440060367
"C03A3.1",2.82564393162323,2.68894529370266,2.41489699063195,0,2.78842751463607,3.96594066767279
"C03A3.2",27.3145580056912,50.1936454824497,55.5426307845348,53.0008167686367,36.2495576902689,30.4055451188247
"rei-1",11.3025757264929,16.133671762216,8.04965663543983,16.6277072215331,21.3779442788765,2.64396044511519
"C03D6.1",2.82564393162323,1.79263019580177,2.41489699063195,6.2353902080749,2.78842751463607,3.96594066767279
"C03H12.1",5.65128786324646,3.58526039160355,7.24469097189585,6.2353902080749,2.78842751463607,6.60990111278798
"C04A11.1",4.70940655270538,5.37789058740532,2.41489699063195,1.03923170134582,0,11.8978220030184
"gck-4",28.2564393162323,16.133671762216,22.5390385792315,22.863097429608,29.7432268227847,19.8297033383639
"arrd-25",47.0940655270538,74.3941531257736,83.7164290085742,77.9423776009363,88.3002046301422,72.7089122406678
"C04F12.1",11.3025757264929,10.7557811748106,5.63475964480788,8.31385361076654,4.64737919106011,9.25386155790317
"C04F12.8",9.41881310541076,8.96315097900887,6.43972530835186,12.4707804161498,7.43580670569618,3.96594066767279
"ttr-39",0.941881310541076,3.58526039160355,4.02482831771991,2.07846340269163,2.78842751463607,0
"C04H5.1",7.53505048432861,11.6520962727115,3.21986265417593,5.19615850672908,0,3.96594066767279
"nlp-41",0.941881310541076,4.48157548950443,3.21986265417593,6.2353902080749,2.78842751463607,13.219802225576
"C05A9.2",2.82564393162323,0.896315097900887,4.02482831771991,1.03923170134582,2.78842751463607,3.96594066767279
"C05B5.4",1.88376262108215,9.85946607690976,1.60993132708797,5.19615850672908,2.78842751463607,6.60990111278798
"C05B5.8",4.70940655270538,1.79263019580177,1.60993132708797,7.27462190942072,2.78842751463607,0
"C05C10.2",48.0359468375949,34.9562888181346,41.0532488407431,19.7454023255705,18.5895167642405,23.7956440060367
"C05C10.3",246.772903361762,233.041925454231,251.149287025723,190.179401346285,188.683595157041,203.58495427387
"pho-11",31.0820832478555,30.4747133286302,29.7837295511274,35.3338778457578,29.7432268227847,17.1857428932487
"ufd-3",28.2564393162323,25.9931378391257,29.7837295511274,30.1377193390287,31.6021784992088,25.1176242285943
"C05C12.4",4.70940655270538,3.58526039160355,7.24469097189585,8.31385361076654,7.43580670569618,7.93188133534558
"C05D12.1",1.88376262108215,2.68894529370266,5.63475964480788,3.11769510403745,0,2.64396044511519
"C05D12.2",0.941881310541076,0.896315097900887,4.02482831771991,5.19615850672908,0.929475838212023,7.93188133534558
"C05G5.1",8.47693179486968,24.2005076433239,7.24469097189585,11.431548714804,9.29475838212023,14.5417824481336
"C05G5.2",5.65128786324646,2.68894529370266,8.04965663543983,10.3923170134582,4.64737919106011,6.60990111278798
