"","Aux_rep1_ribo","Aux_rep2_ribo","Aux_rep3_ribo","noAux_rep1_ribo","noAux_rep2_ribo","noAux_rep3_ribo"
"cdl-1",63.2638264184824,70.7900738656052,69.8767864405811,84.1193986154447,77.7202153088043,88.7420803797438
"cdr-1",95.7995085765591,108.907805947085,106.932658037859,48.3444819628992,66.1672103304685,66.7852769868175
"cdt-1",42.4771405952668,45.7412784977757,39.1733499742652,62.847826551769,53.563932172284,50.3176744421228
"cec-1",228.653544055372,234.151782786233,267.861014688894,242.689299453754,221.607640948077,266.226241139231
"ced-1",166.293486585725,174.252489515336,131.283659373213,203.046824244177,175.395621034734,132.655687165596
"ced-2",27.1130684650639,21.781561189417,16.9398270158985,17.4040135066437,32.5584685753099,19.2122029688105
"ced-3",4.51884474417731,7.62354641629595,8.46991350794923,10.6357860318378,10.5027317984871,10.0635348884246
"ced-4",45.1884474417731,40.2958882004214,40.2320891627588,39.6424752095774,45.1617467334944,41.1690063617368
"ced-5",79.5316674975207,66.4337616277218,57.1719161786573,54.1458197984471,87.1726739274426,63.1258097546631
"ced-6",43.3809095441022,34.8504979030672,34.9383932202906,41.5762544880933,43.061200373797,52.1474080582
"ced-7",230.461081953043,234.151782786233,182.103140420908,204.013713883435,207.954089610044,202.18556457653
"ced-9",26.2092995162284,26.1378734273004,20.1160445813794,35.7749166525454,35.709288114856,25.6162706250807
"ced-10",98.5108154230655,94.7497911739639,94.2277877759352,104.424081039862,103.977044805022,107.039416540516
"ced-11",40.6696026975958,37.0286540220089,37.0558715972779,47.3775923236412,48.3125662730405,53.0622748662386
"ced-12",46.0922163906086,30.4941856651838,44.4670459167335,47.3775923236412,45.1617467334944,37.5095391295824
"ceh-13",27.1130684650639,45.7412784977757,44.4670459167335,18.3709031459017,27.3071026760664,25.6162706250807
"ceh-16",5.42261369301278,5.44539029735425,8.46991350794923,2.90066891777395,5.25136589924353,5.48920084823158
"ceh-18",91.2806638323817,112.175040125497,107.991397226353,79.2849504191547,97.6754057259297,93.3164144199368
"ceh-20",152.736952353193,205.835753239991,175.750705289947,192.411038212339,175.395621034734,188.462562455951
"ceh-23",31.6319132092412,49.0085126761882,40.2320891627588,45.4438130451253,34.6590149350073,42.0838731697754
"pros-1",65.0713643161533,84.9480886387262,60.3481337441383,88.9538468117346,79.8207616685017,73.1893446430877
"ceh-27",16.2678410790383,14.158014773121,15.8810878274048,13.5364549496118,13.6535513380332,9.14866808038596
"ceh-32",56.0336748277987,55.5429810330133,50.8194810476954,56.0795990769631,50.4131126327379,54.8920084823158
